id,nombre,apellido,email,casado/a,genero
100,Violet,Ailyn,.@yopmail.com,true,femenino
101,Sheelagh,Cavan,.@yopmail.com,false,masculino
102,Raina,Ferino,.@yopmail.com,true,masculino
103,Korrie,Harned,.@yopmail.com,false,masculino
104,Catrina,Florina,.@yopmail.com,true,masculino
105,Petronia,Koziara,.@yopmail.com,true,femenino
106,Carlie,Kenwood,.@yopmail.com,false,masculino
107,Genevra,Elvyn,.@yopmail.com,true,femenino
108,Nikki,Belanger,.@yopmail.com,true,masculino
109,Gusella,Merell,.@yopmail.com,true,femenino
